facility_code,issue_info,facility_name,patient_name,tel_num,patient_ssn,fax_num,disease_code,doctor_name,license_type,license_no,med_name_1,med_name_2,med_name_3,med_name_4,med_name_5,med_name_6,med_name_7,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6,dose_7,freq_1,freq_2,freq_3,freq_4,freq_5,freq_6,freq_7,days_1,days_2,days_3,days_4,days_5,days_6,days_7,med_usage,inject_in,inject_out,inject_name_1,inject_dose_1,inject_freq_1,inject_days_1,inject_name_2,inject_dose_2,inject_freq_2,inject_days_2,inject_name_3,inject_dose_3,inject_freq_3,inject_days_3,pharmacy_note,copay_code,valid_period,dispense_facility,change_note,pharmacist_name,dispense_amount,dispense_date
66378291,2024년 02월 27일 - 제 9094 호,대전선병원의원,정지민,042-111-2222,701118-1445267,042-111-2223,J03.9,장수연,한의사,제 37259 호,세팔렉신캡슐500mg,오메프라졸캡슐20mg,로사르탄정50mg,,,,,1캡슐,1캡슐,1정,,,,,3회,1회,1회,,,,,2일,2일,2일,,,,,매식후,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,4,발급일부터 ( 14 )일간,,,,,
51245298,2025년 02월 02일 - 제 537 호,인천중앙의원,장주원,032-567-8901,891220-1982266,032-567-8902,J06.9,안하준,한의사,제 71135 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,5,발급일부터 ( 30 )일간,,,,,
63886538,2025년 12월 28일 - 제 580 호,천안보훈의원,조도현,041-666-7777,570901-2126260,041-666-7778,L23.9,오도현,한의사,제 45959 호,레보플록사신정500mg,클로르페니라민정4mg,세팔렉신캡슐500mg,나프록센정250mg,판토프라졸정40mg,,,1정,1정,1캡슐,1정,1정,,,1회,3회,3회,2회,1회,,,2일,2일,2일,2일,2일,,,아침저녁식후,[  ]원 내 조제,[✓]원 외 처방,페니라민주사,1앰플,1회,1일,트라넥삼산주사,1앰플,1회,1일,,,,,,3,발급일부터 ( 3 )일간,,,,,
29938286,2024년 11월 16일 - 제 2083 호,창원성심의원,고현수,055-555-6666,770925-1349890,055-555-6667,Z00.0,강준우,한의사,제 11698 호,돔페리돈정10mg,로라타딘정10mg,,,,,,1정,1정,,,,,,3회,1회,,,,,,5일,5일,,,,,,매식간,[  ]원 내 조제,[✓]원 외 처방,덱사메타손주사,1앰플,1회,1일,트라넥삼산주사,1앰플,1회,1일,,,,,,6,발급일부터 ( 3 )일간,,,,,
29999785,2025년 05월 22일 - 제 5057 호,수원365의원,서도윤,031-678-9012,750212-1344513,031-678-9013,B34.9,안하준,치과의사,제 68900 호,암로디핀정10mg,나프록센정250mg,타이레놀정500밀리그램,,,,,1정,1정,1정,,,,,1회,3회,3회,,,,,3일,3일,3일,,,,,"매식(전,간,후) 30분 복용",[  ]원 내 조제,[✓]원 외 처방,리도카인주사,1앰플,1회,1일,덱사메타손주사,1앰플,1회,1일,비타민B12주사,1앰플,1회,1일,냉장보관,3,발급일부터 ( 14 )일간,,,,,
75386798,2025년 01월 11일 - 제 7577 호,대전선병원의원,강민준,042-111-2222,670927-1968064,042-111-2223,R51,장혜린,한의사,제 62509 호,아목시실린캡슐250mg,타이레놀정500밀리그램,세티리진정10mg,,,,,1캡슐,1정,1정,,,,,3회,2회,1회,,,,,30일,30일,30일,,,,,아침저녁식후,[✓]원 내 조제,[  ]원 외 처방,온단세트론주사,1앰플,1회,1일,부스코판주사,1앰플,1회,1일,,,,,,2,발급일부터 ( 7 )일간,,,,,
69478366,2025년 01월 04일 - 제 2625 호,부산가정의학과,허민서,051-234-5678,510625-1260326,051-234-5679,K92.1,오태양,치과의사,제 48193 호,오메프라졸캡슐20mg,아지스로마이신정250mg,아목시실린캡슐500mg,클래리스로마이신정250mg,로라타딘정10mg,나프록센정250mg,,1캡슐,1정,1캡슐,1정,1정,1정,,1회,1회,3회,2회,1회,2회,,30일,30일,30일,30일,30일,30일,,아침공복,[  ]원 내 조제,[  ]원 외 처방,,,,,,,,,,,,,,3,발급일부터 ( 30 )일간,,,,,
61377653,2024년 08월 31일 - 제 391 호,전주사랑의원,최하린,063-901-2345,560111-1487962,063-901-2346,J45.9,이하영,치과의사,제 10107 호,아지스로마이신정250mg,덱사메타손정0.5mg,아스피린정100mg,메트포르민정1000mg,,,,1정,1정,1정,1정,,,,1회,3회,1회,2회,,,,30일,30일,30일,30일,,,,"매식(전,간,후) 30분 복용",[✓]원 내 조제,[  ]원 외 처방,트라넥삼산주사,1앰플,1회,1일,,,,,,,,,,3,발급일부터 ( 7 )일간,,,,,
89793229,2025년 02월 16일 - 제 300 호,울산바른의원,배준우,052-890-1234,570719-1311192,052-890-1235,Z00.0,윤준우,치과의사,제 51687 호,아지스로마이신정250mg,덱사메타손정0.5mg,아목시실린캡슐250mg,레보세티리진정5mg,메트포르민정500mg,암로디핀정5mg,이부프로펜정400mg,1정,1정,1캡슐,1정,1정,1정,1정,1회,3회,3회,1회,2회,1회,3회,30일,30일,30일,30일,30일,30일,30일,아침식후,[  ]원 내 조제,[✓]원 외 처방,온단세트론주사,1앰플,1회,1일,케토롤락주사,1앰플,1회,1일,,,,,,,발급일부터 ( 7 )일간,,,,,
76102311,2025년 05월 06일 - 제 791 호,세종스마일의원,남서윤,044-777-8888,860725-1746067,044-777-8889,M54.5,장서준,의사,제 44340 호,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[✓]원 내 조제,[  ]원 외 처방,비타민B12주사,1앰플,1회,1일,,,,,,,,,냉장보관,4,발급일부터 ( 3 )일간,,,,,
